cellID,Crystal ID,ThetaID,PhiID,CrateID,X cm,Y cm,Z cm,R_xy cm,R_3D cm,theta rad,phi rad,theta deg,phi deg,direction_x,direction_y,direction_z,dir_theta,dir_phi,ring_id,corner0_x,corner0_y,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y,corner0_z,corner0_theta,corner0_phi,corner1_theta,corner1_phi,corner2_theta,corner2_phi,corner3_theta,corner3_phi
5734,5733,44,117,30,57.01,-128.68,-14.85,140.75,141.53,1.6759,-1.1538,96.02,-66.11,0.42123,-0.90456,-0.06589,1.6367,-1.135,,59.28622519905456,-126.411492763932,53.96062354883772,-129.46554425518426,53.71546596666194,-128.87734757180186,59.55680774664243,-126.98843527699648,,1.6974,-1.1322597826086958,1.6542,-1.175895652173913,1.6974,-1.175895652173913,1.6542,-1.1322597826086958
5735,5734,44,118,30,62.53,-126.09,-14.85,140.75,141.53,1.6759,-1.1104,96.02,-63.62,0.46035,-0.8853,-0.06571,1.6365,-1.0913,,64.74411608649926,-123.70497739919986,59.55680774664243,-126.98843527699648,59.28622519905456,-126.411492763932,65.03960846796208,-124.26956736628904,,1.6974,-1.0886239130434785,1.6542,-1.1322597826086958,1.6974,-1.1322597826086958,1.6542,-1.0886239130434785
5736,5735,44,119,30,68.01,-123.23,-14.85,140.75,141.53,1.6759,-1.0665,96.02,-61.11,0.49846,-0.8644,-0.06589,1.6367,-1.0477,,70.07782911667228,-120.76348731074768,65.03960846796208,-124.26956736628904,64.74411608649926,-123.70497739919986,70.39766458381749,-121.31465230636726,,1.6974,-1.0449956521739132,1.6542,-1.0886239130434785,1.6974,-1.0886239130434785,1.6542,-1.0449956521739132
5737,5736,44,120,31,73.28,-120.16,-14.85,140.75,141.53,1.6759,-1.0232,96.02,-58.62,0.53576,-0.84181,-0.06571,1.6365,-1.004,,70.07782911667228,-120.76348731074768,75.62200206938084,-118.12869611609624,75.27843103614693,-117.59200577375452,70.39766458381749,-121.31465230636726,,1.6974,-1.0449956521739132,1.6542,-1.0013652173913044,1.6974,-1.0013652173913044,1.6542,-1.0449956521739132
5738,5737,44,121,31,78.49,-116.83,-14.85,140.75,141.53,1.6759,-0.9792,96.02,-56.11,0.5719,-0.81767,-0.06589,1.6367,-0.9605,,80.33637518139878,-114.19627324861426,75.62200206938084,-118.12869611609624,75.27843103614693,-117.59200577375452,80.70303069012063,-114.71746545535208,,1.6974,-0.957729347826087,1.6542,-1.0013652173913044,1.6974,-1.0013652173913044,1.6542,-0.957729347826087
5739,5738,44,122,31,83.48,-113.32,-14.85,140.75,141.53,1.6759,-0.9359,96.02,-53.62,0.60709,-0.79191,-0.06571,1.6365,-0.9167,,85.24125578065986,-110.58322799635924,80.70303069012063,-114.71746545535208,80.33637518139878,-114.19627324861426,85.63029718228863,-111.08793025141564,,1.6974,-0.9140945652173912,1.6542,-0.957729347826087,1.6974,-0.957729347826087,1.6542,-0.9140945652173912
5740,5739,44,123,31,88.37,-109.54,-14.85,140.75,141.53,1.6759,-0.892,96.02,-51.11,0.64099,-0.76471,-0.06589,1.6367,-0.8732,,89.98397931153946,-106.75956850989554,85.63029718228863,-111.08793025141564,85.24125578065986,-110.58322799635924,90.3946665206249,-107.24681956913906,,1.6974,-0.8704586956521739,1.6542,-0.9140945652173912,1.6974,-0.9140945652173912,1.6542,-0.8704586956521739
5741,5740,44,124,32,93.04,-105.61,-14.85,140.75,141.53,1.6759,-0.8486,96.02,-48.62,0.6738,-0.73599,-0.06571,1.6365,-0.8295,,94.5552808462004,-102.73276432207405,90.3946665206249,-107.24681956913906,89.98397931153946,-106.75956850989554,94.98683149212783,-103.2016370323483,,1.6974,-0.8268239130434782,1.6542,-0.8704586956521739,1.6974,-0.8704586956521739,1.6542,-0.8268239130434782
5742,5741,44,125,32,97.58,-101.43,-14.85,140.75,141.53,1.6759,-0.8047,96.02,-46.11,0.7052,-0.70594,-0.06589,1.6367,-0.7859,,98.9457216169859,-98.51124897620863,94.98683149212783,-103.2016370323483,94.5552808462004,-102.73276432207405,99.39731025057074,-98.96085467507966,,1.6974,-0.7831978260869565,1.6542,-0.8268239130434782,1.6974,-0.8268239130434782,1.6542,-0.7831978260869565
5743,5742,44,126,32,101.89,-97.1,-14.85,140.75,141.53,1.6759,-0.7614,96.02,-43.62,0.73538,-0.67446,-0.06571,1.6365,-0.7422,,98.9457216169859,-98.51124897620863,103.6190535319076,-94.53130586330713,103.14828438654676,-94.10182479245935,99.39731025057074,-98.96085467507966,,1.6974,-0.7831978260869565,1.6542,-0.7395673913043479,1.6974,-0.7395673913043479,1.6542,-0.7831978260869565
5744,5743,44,127,32,106.05,-92.53,-14.85,140.74,141.53,1.6759,-0.7174,96.02,-41.11,0.76404,-0.64179,-0.06589,1.6367,-0.6987,,107.14759161584972,-89.5061204059925,103.61169160980944,-94.52458960711787,103.14095591163476,-94.09513905002296,107.63661361396107,-89.9146266652938,,1.6974,-0.695929347826087,1.6542,-0.7395673913043479,1.6974,-0.7395673913043479,1.6542,-0.695929347826087
5745,5744,44,128,33,109.96,-87.85,-14.85,140.75,141.53,1.6759,-0.6741,96.02,-38.62,0.79137,-0.6078,-0.06571,1.6365,-0.6549,,110.95782778414453,-84.75306752314494,107.64426151886472,-89.92101536976055,107.15520477427064,-89.51248008486175,111.4642397139958,-85.1398808317896,,1.6974,-0.6522945652173913,1.6542,-0.695929347826087,1.6974,-0.695929347826087,1.6542,-0.6522945652173913
5746,5745,44,129,33,113.71,-82.94,-14.85,140.75,141.53,1.6759,-0.6302,96.02,-36.11,0.81707,-0.57276,-0.06589,1.6367,-0.6114,,114.54913447141692,-79.83243572012496,111.4642397139958,-85.1398808317896,110.95782778414453,-84.75306752314494,115.0719371380599,-80.19679124731142,,1.6974,-0.6086608695652174,1.6542,-0.6522945652173913,1.6974,-0.6522945652173913,1.6542,-0.6086608695652174
5747,5746,44,130,33,117.2,-77.94,-14.85,140.75,141.53,1.6759,-0.5868,96.02,-33.62,0.84133,-0.53652,-0.06571,1.6365,-0.5677,,117.92230446955983,-74.75996328080338,115.0719371380599,-80.19679124731142,114.54913447141692,-79.83243572012496,118.4605022963514,-75.10116802531489,,1.6974,-0.5650282608695653,1.6542,-0.6086608695652174,1.6974,-0.6086608695652174,1.6542,-0.5650282608695653
5748,5747,44,131,33,120.51,-72.71,-14.85,140.75,141.53,1.6759,-0.5429,96.02,-31.11,0.86388,-0.49936,-0.06589,1.6367,-0.5241,,121.07085787833952,-69.54544826055519,118.4605022963514,-75.10116802531489,117.92230446955983,-74.75996328080338,121.62342571434829,-69.86285393953543,,1.6974,-0.5213978260869565,1.6542,-0.5650282608695653,1.6974,-0.5650282608695653,1.6542,-0.5213978260869565
5749,5748,44,132,34,123.55,-67.42,-14.85,140.75,141.53,1.6759,-0.4996,96.02,-28.62,0.88489,-0.46115,-0.06571,1.6365,-0.4804,,121.07085787833952,-69.54544826055519,124.55500189851992,-64.4912982124732,123.98911512581236,-64.19829695152896,121.62342571434829,-69.86285393953543,,1.6974,-0.5213978260869565,1.6542,-0.4777652173913043,1.6974,-0.4777652173913043,1.6542,-0.5213978260869565
5750,5749,44,133,34,126.39,-61.93,-14.85,140.75,141.53,1.6759,-0.4556,96.02,-26.11,0.90412,-0.42217,-0.06589,1.6367,-0.4369,,126.67148645132976,-58.72866864972524,124.55500189851992,-64.4912982124732,123.98911512581236,-64.19829695152896,127.24961557652983,-58.99670650719268,,1.6974,-0.4341304347826087,1.6542,-0.4777652173913043,1.6974,-0.4777652173913043,1.6542,-0.4341304347826087
5751,5750,44,134,34,128.95,-56.4,-14.85,140.75,141.53,1.6759,-0.4123,96.02,-23.62,0.92171,-0.38227,-0.06571,1.6365,-0.3931,,129.1126564907368,-53.14737938095945,127.24961557652983,-58.99670650719268,126.67148645132976,-58.72866864972524,129.70192712488168,-53.38994421389046,,1.6974,-0.3904967391304348,1.6542,-0.4341304347826087,1.6974,-0.4341304347826087,1.6542,-0.3904967391304348
5752,5751,44,135,34,131.3,-50.68,-14.85,140.75,141.53,1.6759,-0.3684,96.02,-21.11,0.93747,-0.34177,-0.06589,1.6367,-0.3496,,131.30820279612098,-47.46449072318597,129.70192712488168,-53.38994421389046,129.1126564907368,-53.14737938095945,131.90749391159454,-47.681118831599335,,1.6974,-0.3468597826086956,1.6542,-0.3904967391304348,1.6974,-0.3904967391304348,1.6542,-0.3468597826086956
5753,5752,44,136,35,133.38,-44.95,-14.85,140.75,141.53,1.6759,-0.325,96.02,-18.62,0.95152,-0.30048,-0.06571,1.6365,-0.3059,,133.2536631661191,-41.6915249657423,131.90749391159454,-47.681118831599335,131.30820279612098,-47.46449072318597,133.86183336980207,-41.881805237427294,,1.6974,-0.3032249999999999,1.6542,-0.3468597826086956,1.6974,-0.3468597826086956,1.6542,-0.3032249999999999
5754,5753,44,137,35,135.22,-39.05,-14.85,140.75,141.53,1.6759,-0.2811,96.02,-16.11,0.96369,-0.25876,-0.06589,1.6367,-0.2623,,134.94513793028383,-35.840364815879155,133.86183336980207,-41.881805237427294,133.2536631661191,-41.6915249657423,135.5610280309468,-36.003940371344164,,1.6974,-0.2595989130434782,1.6542,-0.3032249999999999,1.6974,-0.3032249999999999,1.6542,-0.2595989130434782
5755,5754,44,138,35,136.79,-33.15,-14.85,140.75,141.53,1.6759,-0.2378,96.02,-13.62,0.97409,-0.21641,-0.06571,1.6365,-0.2186,,134.94513793028383,-35.840364815879155,137.00238973757166,-30.05696673426926,136.3799511441783,-29.92040987470217,135.5610280309468,-36.003940371344164,,1.6974,-0.2595989130434782,1.6542,-0.2159684782608695,1.6974,-0.2159684782608695,1.6542,-0.2595989130434782
5756,5755,44,139,35,138.11,-27.11,-14.85,140.75,141.53,1.6759,-0.1938,96.02,-11.11,0.98258,-0.17378,-0.06589,1.6367,-0.1751,,137.55532076629785,-23.94275944914353,137.00238973757166,-30.05696673426926,136.3799511441783,-29.92040987470217,138.18312375092444,-24.05203429041199,,1.6974,-0.1723326086956521,1.6542,-0.2159684782608695,1.6974,-0.2159684782608695,1.6542,-0.1723326086956521
5757,5756,44,140,36,139.16,-21.1,-14.85,140.75,141.53,1.6759,-0.1505,96.02,-8.62,0.98924,-0.13069,-0.06571,1.6365,-0.1313,,138.4687754008277,-17.919828128466296,138.18312375092444,-24.05203429041199,137.55532076629785,-23.94275944914353,139.1007473957309,-18.001614289265994,,1.6974,-0.1286989130434782,1.6542,-0.1723326086956521,1.6974,-0.1723326086956521,1.6542,-0.1286989130434782
5758,5757,44,141,36,139.95,-14.97,-14.85,140.75,141.53,1.6759,-0.1066,96.02,-6.11,0.99398,-0.08749,-0.06589,1.6367,-0.0878,,139.1186928180067,-11.862179806752758,139.1007473957309,-18.001614289265994,138.4687754008277,-17.919828128466296,139.7536310383674,-11.916318838564615,,1.6974,-0.0850608695652174,1.6542,-0.1286989130434782,1.6974,-0.1286989130434782,1.6542,-0.0850608695652174
5759,5758,44,142,36,140.47,-8.89,-14.85,140.75,141.53,1.6759,-0.0632,96.02,-3.62,0.99687,-0.04397,-0.06571,1.6365,-0.0441,,139.5037252051756,-5.782097805943268,139.7536310383674,-11.916318838564615,139.1186928180067,-11.862179806752758,140.1404207147527,-5.808487321374237,,1.6974,-0.0414239130434782,1.6542,-0.0850608695652174,1.6974,-0.0850608695652174,1.6542,-0.0414239130434782
5760,5759,44,143,36,140.72,-2.72,-14.85,140.75,141.53,1.6759,-0.0193,96.02,-1.11,0.99783,-0.00052,-0.06589,1.6367,-0.0005,,139.6231623345267,0.3074749827903487,140.1404207147527,-5.808487321374237,139.5037252051756,-5.782097805943268,140.26040295559687,0.3088782997308962,,1.6974,0.0022021739130433,1.6542,-0.0414239130434782,1.6974,-0.0414239130434782,1.6542,0.0022021739130433
5761,5760,45,0,1,140.77,3.39,-21.01,140.81,142.37,1.7189,0.024,98.49,1.38,0.99309,0.04291,-0.10927,1.6803,0.0432,,139.68268197744018,0.3076060556071688,138.6385427099322,6.35831704416312,139.53634923760657,6.3994927405869975,138.78393391381655,0.3056268528676302,,1.6974,0.0022021739130433,1.740625,0.0458304347826086,1.6974,0.0458304347826086,1.740625,0.0022021739130433
5762,5761,45,1,1,140.49,9.56,-21.01,140.81,142.37,1.7189,0.068,98.49,3.89,0.99026,0.08612,-0.1094,1.6804,0.0868,,139.1243395419854,12.480561401735946,138.6385427099322,6.35831704416312,139.53634923760657,6.3994927405869975,138.22918397226007,12.400258817092292,,1.6974,0.0894684782608695,1.740625,0.0458304347826086,1.6974,0.0458304347826086,1.740625,0.0894684782608695
5763,5762,45,2,1,139.94,15.64,-21.01,140.81,142.37,1.7189,0.1113,98.49,6.38,0.98557,0.1293,-0.10927,1.6803,0.1304,,138.44750079876133,18.537415906029675,138.22918397226007,12.400258817092292,139.1243395419854,12.480561401735946,137.55670015336338,18.418142232197862,,1.6974,0.1331032608695652,1.740625,0.0894684782608695,1.6974,0.0894684782608695,1.740625,0.1331032608695652
5764,5763,45,3,1,139.12,21.77,-21.01,140.81,142.37,1.7189,0.1552,98.49,8.89,0.97899,0.1721,-0.1094,1.6804,0.174,,137.50707393727362,24.55913034098131,137.55670015336338,18.418142232197862,138.44750079876133,18.537415906029675,136.62232419817826,24.40111167663606,,1.6974,0.1767391304347826,1.740625,0.1331032608695652,1.6974,0.1331032608695652,1.740625,0.1767391304347826
5765,5764,45,4,2,138.04,27.78,-21.01,140.81,142.37,1.7189,0.1986,98.49,11.38,0.97055,0.21471,-0.10927,1.6803,0.2177,,136.30486289570314,30.53408942280258,136.62232419817826,24.40111167663606,137.50707393727362,24.55913034098131,135.42784843796397,30.337626601823192,,1.6974,0.220375,1.740625,0.1767391304347826,1.6974,0.1767391304347826,1.740625,0.220375
5766,5765,45,5,2,136.69,33.81,-21.01,140.81,142.37,1.7189,0.2425,98.49,13.89,0.96026,0.25677,-0.1094,1.6804,0.2613,,134.8434733872121,36.449745551489976,135.42784843796397,30.337626601823192,136.30486289570314,30.53408942280258,133.97586182017034,36.215220141681,,1.6974,0.2640021739130435,1.740625,0.220375,1.6974,0.220375,1.740625,0.2640021739130435
5767,5766,45,6,2,135.1,39.7,-21.01,140.81,142.37,1.7189,0.2858,98.49,16.38,0.94814,0.29848,-0.10927,1.6803,0.305,,134.8434733872121,36.449745551489976,132.26877829272786,42.02432639932488,133.1253349921674,42.29647088256121,133.97586182017034,36.215220141681,,1.6974,0.2640021739130435,1.740625,0.3076326086956522,1.6974,0.3076326086956522,1.740625,0.2640021739130435
5768,5767,45,7,2,133.22,45.6,-21.01,140.81,142.37,1.7189,0.3298,98.49,18.89,0.93423,0.33949,-0.1094,1.6804,0.3485,,131.15350397732962,48.06354814581134,132.26877829272786,42.02432639932488,133.1253349921674,42.29647088256121,130.3096344577272,47.7542970617442,,1.6974,0.3512695652173913,1.740625,0.3076326086956522,1.6974,0.3076326086956522,1.740625,0.3512695652173913
5769,5768,45,8,3,131.12,51.33,-21.01,140.81,142.37,1.7189,0.3731,98.49,21.38,0.91852,0.37998,-0.10927,1.6803,0.3922,,128.93214742438084,53.73869766224211,130.3096344577272,47.7542970617442,131.15350397732962,48.06354814581134,128.10257058496123,53.39293146000527,,1.6974,0.3949032608695652,1.740625,0.3512695652173913,1.6974,0.3512695652173913,1.740625,0.3949032608695652
5770,5769,45,9,3,128.74,57.04,-21.01,140.81,142.37,1.7189,0.417,98.49,23.89,0.90108,0.41962,-0.1094,1.6804,0.4358,,126.4652915086263,59.31168779873251,128.10257058496123,53.39293146000527,128.93214742438084,53.73869766224211,125.65158694446755,58.93006379348918,,1.6974,0.4385380434782608,1.740625,0.3949032608695652,1.6974,0.3949032608695652,1.740625,0.4385380434782608
5771,5770,45,10,3,126.15,62.56,-21.01,140.81,142.37,1.7189,0.4604,98.49,26.38,0.88191,0.45859,-0.10927,1.6803,0.4795,,123.75768460727429,64.77176673939476,125.65158694446755,58.93006379348918,126.4652915086263,59.31168779873251,122.96140136138632,64.35501142577675,,1.6974,0.4821728260869565,1.740625,0.4385380434782608,1.6974,0.4385380434782608,1.740625,0.4821728260869565
