Profile Summary
Generated on: 2026-03-15 10:03:57
Msec since Epoch: 1773569037015
Profiled application: 
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.0
Build version branch: 2024.2
Build version hash: d05b18dc38cc6804ecb4b3dbe6de23f158319567
Build version date: 2024-10-25 10:29:53
Target devices: edge-0
Flow mode: System Run

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,7,
MEMORY_USAGE,edge-0|DDR,1,
MEMORY_USAGE,edge-0|DDR,1,
MEMORY_USAGE,edge-0|LPDDR,0,
MEMORY_USAGE,edge-0|dc_0,1,
MEMORY_USAGE,edge-0|dc_1,1,
MEMORY_USAGE,edge-0|dc_2,1,
MEMORY_USAGE,edge-0|dc_3,1,
MEMORY_USAGE,edge-0|dc_4,1,
MEMORY_USAGE,edge-0|dc_5,1,
MEMORY_USAGE,edge-0|dc_6,1,
MEMORY_USAGE,edge-0|dc_7,1,
MEMORY_USAGE,edge-0|dc_8,1,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
PORT_BIT_WIDTH,load_1/m_axi_gmem0,1024,
PORT_BIT_WIDTH,store_1/m_axi_gmem1,1024,
KERNEL_COUNT,a,1,
KERNEL_COUNT,c,1,
KERNEL_COUNT,e,1,
KERNEL_COUNT,g,1,
KERNEL_COUNT,load,1,
KERNEL_COUNT,store,1,
TRACE_MEMORY,all,TS2MM,
TRACE_BUFFER_FULL,edge-0,false
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,64,
APPLICATION_RUN_TIME_MS,all,14767.3,
TOTAL_KERNEL_RUN_TIME_MS,all,0.438871,
XRT_INI_SETTING,opencl_trace,0,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,1,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,fine,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,fine,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,32M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,5,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
